x,y,label,filename
9.039127,9.729254,healthy,20221116T155500_4407951432584596_2.0_clip_010.wav
14.900428,8.986698,healthy,20221117T065500_4407951432584596_2.0_clip_009.wav
14.093051,5.895941,healthy,20221116T223500_4407951432584596_2.0_clip_011.wav
14.383913,5.617278,healthy,20221116T233500_4407951432584596_2.0_clip_007.wav
13.544003,8.393684,healthy,20221117T095500_4407951432584596_2.0_clip_002.wav
14.831707,6.3342133,healthy,20221117T033500_4407951432584596_2.0_clip_008.wav
15.390521,6.064332,healthy,20221116T215500_4407951432584596_2.0_clip_012.wav
15.044125,8.450496,healthy,20221117T081500_4407951432584596_2.0_clip_002.wav
16.127085,7.6478257,healthy,20221117T022500_4407951432584596_2.0_clip_006.wav
9.14976,10.021808,healthy,20221116T132500_4407951432584596_2.0_clip_011.wav
14.319318,7.823891,healthy,20221116T213500_4407951432584596_2.0_clip_007.wav
15.153916,5.495362,healthy,20221117T045500_4407951432584596_2.0_clip_009.wav
16.327475,7.818052,healthy,20221117T033500_4407951432584596_2.0_clip_006.wav
15.570425,5.652908,healthy,20221117T003500_4407951432584596_2.0_clip_002.wav
16.491005,7.8230906,healthy,20221117T052500_4407951432584596_2.0_clip_006.wav
15.351743,7.2280564,healthy,20221117T035500_4407951432584596_2.0_clip_003.wav
15.332076,8.123251,healthy,20221117T024500_4407951432584596_2.0_clip_010.wav
15.578056,6.536499,healthy,20221117T025500_4407951432584596_2.0_clip_008.wav
14.925078,5.74754,healthy,20221117T013500_4407951432584596_2.0_clip_005.wav
16.544424,6.4492984,healthy,20221117T013500_4407951432584596_2.0_clip_002.wav
8.900388,8.527615,healthy,20221117T111500_4407951432584596_2.0_clip_012.wav
14.66866,5.6547613,healthy,20221116T231500_4407951432584596_2.0_clip_004.wav
14.615037,7.616449,healthy,20221116T195500_4407951432584596_2.0_clip_007.wav
9.398015,9.290046,healthy,20221116T120500_4407951432584596_2.0_clip_005.wav
16.290127,7.519895,healthy,20221116T231500_4407951432584596_2.0_clip_006.wav
13.339993,7.3983574,healthy,20221116T214500_4407951432584596_2.0_clip_007.wav
8.9865885,9.938061,healthy,20221116T122500_4407951432584596_2.0_clip_012.wav
13.253211,7.2291927,healthy,20221117T111500_4407951432584596_2.0_clip_008.wav
16.502188,7.779982,healthy,20221116T235500_4407951432584596_2.0_clip_005.wav
14.045208,9.034425,healthy,20221117T095500_4407951432584596_2.0_clip_012.wav
15.819967,5.4396577,healthy,20221117T095500_4407951432584596_2.0_clip_009.wav
9.148523,7.593876,healthy,20221116T131500_4407951432584596_2.0_clip_008.wav
9.58182,7.9199395,healthy,20221116T121500_4407951432584596_2.0_clip_012.wav
11.113343,9.295954,healthy,20221116T174500_4407951432584596_2.0_clip_009.wav
9.096029,10.378739,healthy,20221116T120500_4407951432584596_2.0_clip_003.wav
15.101628,7.8422565,healthy,20221116T224500_4407951432584596_2.0_clip_001.wav
10.12573,8.759013,healthy,20221117T104500_4407951432584596_2.0_clip_010.wav
8.544453,9.691023,healthy,20221116T162500_4407951432584596_2.0_clip_011.wav
13.588409,9.1981945,healthy,20221117T093500_4407951432584596_2.0_clip_008.wav
